Date,AAPL,AMZN,AYX,BABA,CRM,FB,GOOGL,MSFT,S02,TEAM,view,BRK-B,SPY
2014-03-03,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-04,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-05,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-06,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-07,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-10,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-11,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-12,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-13,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-14,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-17,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-18,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-19,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-20,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-21,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-24,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-25,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-26,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-27,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-28,,,,,,,,,,,V02 M1 9 Stocks,,
2014-03-31,,,,,,,,,,,V02 M1 9 Stocks,,
2014-04-01,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,V02 M1 9 Stocks,,
2014-04-02,1.0016617008748727,0.9969969998249804,,,0.9889456290637012,1.0015969658511177,1.0001850362579727,0.998310133710226,0.9979494109304786,,V02 M1 9 Stocks,,
2014-04-03,0.9947202074743176,0.9726814330645628,,,0.9479592338088304,0.9500160164486748,1.0061389440030424,0.9901012541110892,0.976936181485086,,V02 M1 9 Stocks,,
2014-04-04,0.9818519892350206,0.9417184449027216,,,0.9253401517914992,0.9062599953091662,0.9599252129792804,0.9625784189199892,0.9462790355229465,,V02 M1 9 Stocks,,
2014-04-07,0.9664359835952836,0.9264410602770072,,,0.9178571754737616,0.9094538791033836,0.9517916051217136,0.9608884440740754,0.9388113579408708,,V02 M1 9 Stocks,,
2014-04-08,0.96638078404379,0.9535847008246509,,,0.938945577192952,0.9292558276789497,0.9815092436264662,0.9613714103402003,0.9551745906178348,,V02 M1 9 Stocks,,
2014-04-09,0.9790824244467284,0.9674043198753409,,,0.9685374484445144,0.9966464547532171,0.9982869723052112,0.977064367331832,0.9811703311928074,,V02 M1 9 Stocks,,
2014-04-10,0.9664547049681892,0.9245458883508524,,,0.9277210872061408,0.9447461025989476,0.9624603697450584,0.9502656287324656,0.9460322969336088,,V02 M1 9 Stocks,,
2014-04-11,0.9593093955906328,0.9088603751963724,,,0.8991496581488038,0.9346854029812424,0.9467389126657312,0.9466441416295048,0.932564647702048,,V02 M1 9 Stocks,,
2014-04-14,0.9631314201356826,0.9210472993687076,,,0.9146258488881944,0.9404343650660232,0.9598372079512264,0.945919773647422,0.9408326525095426,,V02 M1 9 Stocks,,
2014-04-15,0.9562632923026408,0.9215428910913698,,,0.9392857302599612,0.9436282488602404,0.9659990387543946,0.9596811098258666,0.9477333851824123,,V02 M1 9 Stocks,,
2014-04-16,0.9582018531996208,0.9437009896411264,,,0.9520408325177012,0.9536889484779456,0.992759010797288,0.9753742839297779,0.9626276530939102,,V02 M1 9 Stocks,,
2014-04-17,0.9691499103924359,0.9472871321988144,,,0.9540816148653336,0.9412328320222424,0.9565626614179604,0.965958504306992,0.9557121092006298,,V02 M1 9 Stocks,,
2014-04-21,0.9806516876294652,0.9646637063664746,,,0.9542517339158456,0.9779623599163584,0.9495733284273424,0.9642684209049384,0.9652285395267372,,V02 M1 9 Stocks,,
2014-04-22,0.9816303287644076,0.9601446590321776,,,0.9707483498426591,1.006547429041,0.9603653437509352,0.9654757551531468,0.974151977597388,,V02 M1 9 Stocks,,
2014-04-23,0.9687992463631688,0.9463249554309152,,,0.9462585024873896,0.979878664641946,0.9462987818940762,0.9582325638349456,0.9576321191087402,,V02 M1 9 Stocks,,
2014-04-24,1.048223158297363,0.9829732756923896,,,0.9307823287548014,0.9720536565323163,0.9408939619339696,0.9623370172040316,0.9728772330691452,,V02 M1 9 Stocks,,
